,index,date,comments
72,822592,2021-05-24,"This place was great. The apartment was clean, the sheets and towels were washed, and the kitchen was ready to be used. A few things that made us feel at home were: the nice selection of complimentary coffee and tea, hand lotion, hand and dishwashing soaps, the temperature control unit, and disinfectant wipes. There’s a small backyard that I didn’t utilize but I’m sure it would have been very nice to hangout in. This place is also very close to a subway station, so public transit was easily accessible. <br/><br/>One thing to remember is it’s really hard to see the address on the building at night. So if you arrive after dark like we did, you’ll have a hard time finding the right house the first time until you get more familiar with the location.<br/><br/>The neighborhood is made up of two story houses that have a separate apartment in the basement. This unit is a basement apartment, so the stairs leading to the apartment’s front door are located underneath the main building’s porch. The stairs leading down to the front door are narrow and a little steep, so keep that in mind if you’re a disabled guest like I am. <br/><br/>Overall, it was a nice place to stay and Jonathan responded to my messages very quickly. I would recommend this place. Thank you, Jonathan!"
73,498098,2019-02-17,This place is great. Clean and very quiet. Great food near by.
74,657855,2020-01-01,"The room was great, with a good view of the neighborhood, beautiful decorations, and plenty of space to settle into."
75,649165,2019-01-21,This place is stylish and clean. I have lived in many places and found the beddings and couches here are the cleanest. The whole apartment is recently renovated. The host Sam is very nice and helpful. I had a nice stay for the first week of my new job. I  recommend this place.
76,695351,2019-11-11,环境温馨，大部分家电都是新的，房子节省空间的设计很棒，厕所有点拥挤，超过180cm的朋友就不推荐了。整体4
77,656799,2020-01-19,Terrence and Teresa are incredibly friendly and welcoming. They had a ton of helpful tips for things to do around them. Their spot is close to public transit and we had no issue getting around. I definitely recommend staying here.
78,692622,2021-10-14,Great apartment and a great host! Very communicative and overall a smooth experience!
79,294508,2020-11-11,Perfect
80,776249,2020-05-02,You get what you pay for. Good communication. Morning cleaning would help.
81,679872,2019-03-30,"Ellen's place was perfect for my needs.  I was traveling alone, in Brooklyn overnight for work.  It's small, but had everything I could possibly need.  It was clean and super comfortable and in a great neighborhood. I would definitely stay there again next time!"
82,354167,2019-02-24,"Great little studio space, perfect for a solo traveler. Location is amazing and it’s an amazing value for NYC! Highly recommend!"
83,676629,2019-01-04,Great space. Excellent host
84,215690,2021-04-05,Wonderful hosts and a fantastic space/location. I spent a month with Sarah and Jason and definitely plan to return!
85,487879,2019-10-27,Seeranie's place was easy to find and a short 10 minute walk from both Jamaica-Van Wyck and Sutphin-JFK subway station. Check in was a breeze and I always felt as if I had the place to myself. Great value for the price.
86,165369,2019-08-25,"Soon's place was just what we needed for a short trip to the big city! His space was very clean and comfortable. Soon was so great to talk to, even made me a nice cup of espresso the day we arrived! He offered some great local tips! Even recommended a few places to visit that I was already planning on going to which was a great reassurance. The location was good and just a short few blocks from the 2 and 3 train that will take you directly to Manhattan.  Overall, it was a great deal and a great space and a top competitor for the next time we visit NYC. Thanks Soon!"
87,793740,2020-04-30,"Abdul is a truly amazing host and definitely goes the extra mile to make sure that his guests feel comfortable and welcome. His place is situated in a perfect part of Astoria. 2 blocks and you are on 30th Ave and have a choice of whatever you want to eat, drink or shop for.  Again kudos to the host Abdul. My hat is off to you sir and thank you for being such a pleasant and gracious host."
88,850418,2021-11-14,"The condo was perfect for my bf and I! It's located in the most convenient area. There's building security, food places right outside, steps from the subway and around the corner from the LIRR. <br/><br/>The condo was clean and exactly as pictured in the listing. Check-in and check-out was super easy. John's communication was on point. He was quick to respond to our questions during our stay. We needed an early check-in and he made sure the place was ready for us. He even put together a food guide! Also, the mattress is so comfortable, I slept like a rock on it every night!<br/><br/>I definitely will be staying again the next time the bf visits! Thank you again John!"
89,597019,2019-03-27,Great place to stay and close to all we needed! Clean and exactly as described!
90,879348,2021-11-18,"Great host, convenient location, lots of great choices for Asian food close by"
91,874513,2021-09-25,Really wonderful Airbnb! Sheryl-Ann is a phenomenal host.
92,593585,2019-10-16,"Christopher's place is nice, spacious and comfortable, especially the kitchen. The bed is not a queen size bed, which makes it pretty uncomfortable to sleep with two people. The amenities are great and I love how the place is being decorated. The host is friendly and helpful too. Overall, we enjoyed our stay! :)"
93,700720,2020-11-02,"NICE SUPER HOST!!! Great home, great neighborhood even their son was a cool person!! Would recommend this place 100 times over!!"
94,781863,2021-06-09,This place doesn't like what shown in the advertisement. I made the booking one day prior to check-in and then I asked to cancel the reservation.  Firstly the host agrees to cancel and then after says according to the cancellation policy cannot refund the money. How unfair the things like this. I made inquire this to Airbnb team but they didn't give any answer to me as well.
95,649592,2019-01-02,"I had the chance to stay in Shachi's apartment for a year-end trip in New York. I love how clean and stylish it was, and to me, the best value came from its location - just a few blocks from the Graham station. - We were a party of 4,  and we were able to accommodate in Shachi's apartment without trouble. <br/><br/>In addition to the place, I want to highlight how attentive Shachi was to meet my late check-in and early check-out times. I totally recommend this place if it ever gets available again. Shachi is a great host, and her place helped me build good experience in New York and with Airbnb!"
96,692640,2019-07-05,"Small, but good location and value for money. Kitchen could do with a clean."
97,678822,2019-08-05,"He was so kind, helpful and friendly. And the house was so cozy and clean. I strongly recommend this place :-)"
98,486250,2019-12-23,"Thank you once again for chance to stay in your apartment! Had a last minute travel and appointment, Rose was super helpful in setting up everything swiftly! Awesome location, very cozy and clean apartment, good taste of style. Very easy to get around especially when its so cold outside.<br/>Would definitely recommend/book again.<br/>Thanks for the hospitality."
99,168893,2019-03-10,This place was in a wonderful location for my museum visits! I took beautiful walks along Central Park to my destination: the Guggenheim. This is a stylish place for one or a couple! Recommend!
100,489420,2019-11-08,My family and I had a wonderful experience with this place.  Was convenient to the subway and Central Park.
101,768564,2019-10-13,Great place and location.  Friendly roommates although I barely saw/heard them. A peaceful and quiet stay. Christian is very responsive with great communication.  Would stay again.
102,717675,2019-05-08,It’s very close to the airport and Zahir was extremely friendly.
103,275929,2020-02-13,"RECOMMENDED ! <br/>It's an exceptional location. Safe area. <br/>Perfect for long walks to discover this amazing area of NYC. <br/>The place is very nice, the room is clean, beautiful, with SUPER comfy bed and GREAT, peaceful energy.<br/>This place is great if you wanna relax after busy days ! <br/>The bed sheets smells like spring, the place is nice and clean.<br/>I really love my stay at Edgar place and I will be back!  Thank you !"
104,262228,2019-04-29,"Attendez vous à passer un séjour mémorable chez Svetlana ! elle nous a réservé un bon accueil avec quelques attentions et tout était confortable. Belle chambre. Son appartement est très propre, pas de perte de temps car proche de Manhattan (la vue avec le tramway est super!). elle nous a laissé un emplacement dans son frigo pour notre petit déjeuner.<br/>Elle nous a fait beaucoup de suggestions pratiques pour nos déplacements et choses à voir. Très bonne expérience à renouveler. Merci Svetlana"
105,496102,2019-09-09,"The location of this apartment is terrific; it's close to lots of restaurants and has easy access to the subway system.  In addition, it's very quiet and has a very pleasant view from the bedroom windows out onto a backyard area.  However, it has a really tiny shower, lacks a suitable laptop workspace (or much table space at all), and does not really have sufficient storage space for more than one guest."
106,488736,2019-09-14,Mich was a nice host who was in the appartment when we arrived. Everything was exactly how it was described. We can only recommend this Airbnb! Good connection with subway.
107,494809,2019-12-05,"Mercedes is very warm, entertaining and is always available to help. She was really kind, told me to take whatever I needed in the kitchen. <br/>Her place is exactly as shown in the pictures and is close to two train stations. There are many grocery stores and eateries nearby that are just walking distance if you'd like to buy things to cook, order food or eat out. <br/>It was my first and a great experience in New York. Thanks again, Mercedes."
108,686490,2021-08-15,"Excelente ubicación, barrio tranquilo ideal por lo cercano a central Park. El piso es amplio ,soleado ,limpio y  conserva el estilo original Alguna mejora a hacer el el piso serian aspecto general nada demasiado importante."
109,332725,2021-08-03,Great place to stay
110,98182,2019-05-17,"Excellent location just off Madison Avenue on the Upper East Side. Loads of shopping opportunities just around the corner including Giorgio Armani, Hermès, and countless others as well as restaurants galore. Central Park is a quick, two-block walk away!! The space is open and filled with loads of light. The apartment is very, very clean. Marina was accommodating on all points. Two enthusiastic thumbs up."
111,653065,2019-11-13,"Easy to find, some noisy street traffic, but great space / comfortable bed!"
112,394287,2020-03-12,All was great.<br/>NY is a bit louder as expected. :)<br/>Thank you very much.
113,690844,2019-10-11,"Nice appartement in a good neighborhood, simple and functional furniture and equipment. Chafiq is very friendly and responsive"
114,695943,2019-04-08,"OMG , How can I start,  this place is aaamaazinng,  so so fresh and clean,  have everything you need to just enjoy your stay,  comfy beds, amazing TV's and living room, bath tube with hot water,  full equipped kitchen,  super great location,  close enought to walk to Yankees Stadium and YS train station , peaceful neighborhood,  Donna was amazing with the check in,  check out experience,  always available to anything and she told me about the cold weather to take care about it.  In conclusion I'm In love with this place,  and I hope to come back soon. Thanks Donna"
115,717051,2021-05-02,Tricia was such a great host her place is in a very authentic and beautiful side of Brooklyn that makes being in NY feel like home and comfortable.
116,573308,2019-12-16,"Atthaphon is kind and friendly. It was really nice staying at her place.  Room was clean and amenities were all as described. It’s close to Manhattan, just a few stops with the subway or you can go there by ferry. Will recommend."
117,866291,2021-11-25,Very nice host! Janiel is very considerate! The instructions were accurate so we found the location quite easily! The rooms are all clean and cozy! The host contacted us in advance and left the candles on for us! Very satisfying stay!
118,745618,2021-05-22,Erika was an amazing host who went above & beyond to accommodate our needs during our stay! Her two cats were the absolute sweetest & the apartment is extremely well decorated. The apartment is also a 5 min walk to everywhere you’d want to go in Willyburg. My boyfriend & I loved our stay :) Thanks Erika!
119,718345,2021-01-08,ABSOLUTELY AMAZING!
120,839701,2021-02-02,"Beautiful place, beautiful family."
121,161355,2020-09-06,The house is exactly as described. Perfect place to hang. Close to everything and true Brownstone living.
122,732299,2020-03-21,Penelope’s <br/>Nest in Williamsburg is a great spot to be.<br/><br/>For me it was a convenient stay.<br/>Thanks For hosting.
123,672116,2021-04-09,such a beautiful apartment.<br/>Phil is an awesome dude and i could feel the love he put into building and putting together this space. such a vibe. so grateful.
124,764206,2021-11-27,"This is a great apartment in Harlem, a very easy walk to two different subway lines, and lots of good amenities in the neighborhood. Chris’ house is cozy and inviting and we felt very welcome and at home. It’s rare to find a place in the city with two and a half baths and those really came in handy for our group of four family members traveling together. Great communication. Overall, we had a great stay at Chris’ house and I highly recommend it for travelers who want an inviting, interesting, and comfortable space to spend time in between city adventures!"
125,512680,2020-01-02,"Overall it was an awesome place to stay. The location was great, not far from the subway at all. Very stylish place, lots of amazing artwork and beautiful plants. Holiday decorations were a nice touch too. 10/10 would recommend."
126,827479,2020-09-10,"Late & Alex are very genuine. They call upon arrival to make sure if you need anybtimg and are comfortable , the environment is beautiful it’s very quiet , the room was a good size and the kitchen has everything you need. I love the cameras so you feel safe and gated codes for everything . The bathroom is still led with toilet paper and soap . This is a must - see room and home to stay on you’re next trip . <br/>Thx again Kate & Alex for an amazing stay while in NY ."
127,759292,2019-10-25,"Amazing stay. The apartment is so clean and tidy. Subway N and W lines just a 5 minute walk away, 15 minute ride to and from Times Square. The neighbourhood is beautiful and so quiet and away from the hustle and bustle of the city.<br/><br/>We will definitely book to stay again on our next visit to NYC. Charlie was a great host, was quick and responsive to our questions. Would highly recommend Charlie’s place!"
128,870363,2021-06-12,"Kitty's was the perfect place to stay in Queens. The apartment was cozy, clean, quiet and very comfortable. Your living room windows face her beautiful yard! There are many restaurants and shops a few blocks away. Kitty was a gracious host. We would stay with Kitty again anytime! Thank you for a wonderful stay!"
129,584221,2021-03-23,"The apartment was super, meticulously clean, which I appreciated especially in “these times”.  Jaran and Linda were super hosts and incredibly responsive in all their communications.  They seemed to really care about the comfort of their guests and went out of their way to ensure all was ok. The apartment is light and spacious in a good location in Bed-Stuy."
130,615106,2019-12-02,Anna's place is well decorated and spacious. It's located in a very accessible neighborhood between Chinatown and the Lower East Side and is a short walk from the subway.
131,787050,2020-01-16,"Great spot, 3 blocks from Marcy Station, very clean and new. Totally recommend it, specially when the weather gets a bit warmer to enjoy the fantastic balcony and outside area. Amazing hosts!"
132,860899,2021-07-20,"This is a great place to stay for short or long term. Equipped with all that you will need. It has a spinning bike and a few free weights. You will not need to gym cheat while on vacation. The location is safe and well served. Convenient stores (with dely options) in every corner and a few good restaurant options only 5-10mn walking distance (Mexican, French, Vegan/vegetarian...). Disney quickly responds and anything we asked she provided a solution. Wonderful experience."
133,412357,2019-04-13,"Great vibes great location, exactly what you need from a quick one night stay"
134,185507,2019-09-21,The location of this studio is great and Raanan is very responsive and flexible. I encountered some NY-related issues but Raanan solved it very promptly. I recommend this place and commend Raanan as a host.
135,730951,2020-01-01,Great place to stay! For all four of us perfectly. Plenty to eat right around Karl’s place. Would stay again.
136,707396,2019-11-01,"L'appartement de Victoria corresponds parfaitement à sa description. Il est charmant, propre, bien meublé et bien agencé . Il est également très bien situé, à 5 minutes à pied de deux lignes de métro, dont une très rapide pour Manhattan. Le quartier est très agréable et rentrer dans ce bel endroit après une longue journée est très appréciable. Victoria a répondu à toutes mes questions rapidement et a été une hôte charmante. Bref, je recommande vivement cette location pour un séjour à New-York !"
137,223702,2020-09-23,Nice and cozy . Highly recommend!!!
138,147573,2019-09-24,Anthony a été très courtois avec nous gentil et très aimable il nous a tout de suite mise à l’aise Il nous a donné quelques indications il a su répondre à toutes nos besoins!  souvent absent mais il respectait beaucoup notre intimité je recommande fortement Anthony pour sans hospitalité sa gentilles ( ainsi que celle de la copine ) l’es photo correspondant exactement à l’appartement propre et très bien entreten (Website hidden by Airbnb) Pour ce qu’il et du métro il et proche comme il l’a indiqué sur l’annonce très facile de repairer la station ligne 1 directement pour allez à Times Square quelque magasin et banque à proximité donc très facile bien comme emplacement .
139,650357,2019-04-21,"We thoroughly enjoyed everything about our stay:  Lindsay’s place was clean, stylish, and the location was phenomenal. I highly recommend staying here!"
140,774211,2019-10-21,Accueil chaleureux. Chambre sympa et s’est . Propreté assurée. Bonne localisation au nord de Central Park. Ambiance familiale
141,718500,2021-06-16,Hidden gem! Don’t let the area fool you. The neighbors were extremely welcoming when we arrived. There were plenty appliances and cookware for us to use. The living space was larger than expected with a beautiful and surprisingly spacious backyard. The sub station is also a few blocks down from the location which is extremely convenient. Would recommend for those who are on a budget and wants to experience all parts of New York!
142,334422,2020-02-26,"Location location location! Not even a block to Central Park, great restaurants and grocery stores. Space was super clean, super private and very relaxing when we would return from our time in the City. John was a spectacular host and should we get back i would definitely stay here again. Thank you John and Simone! Jack D"
143,405325,2020-10-26,"AWESOME LOCATION.CLEAN,ORGANIZED,COZY.LOVED THIS PLACE.WILL DEFINETLY RECOMMEND."
144,398015,2019-11-04,"Very close to trains. Room was as expected. Cold but there's a space heater in the room. Only issue was the typical Air BnB issue, hair everywhere. Hair in the shower, on the bathroom floor, the sink and the toilet had been wiped b/c the seat was up but when I put it down, hair on the toilet seat. I guess the cleaning rag had hair on it. Aside from that, location is great."
145,713364,2020-06-17,"Clean, cozy, and convenient. Priced well too"
146,601753,2019-05-15,"I booked Suzan’s place super last minute, I had a layover in NY and was flying out from JFK the next morning. Suzan was so quick to respond and to give me clear directions and information. The drive to the airport the next morning was like 8 minutes. So convenient. Suzan was so accommodating and kind."
147,750705,2020-11-23,"great stay, location was good, and fast responses from the host."
148,769744,2021-05-22,"Great neighborhood, private entrance. Spacious, but troublesome for tall people-- anyone over 6' will hit their head on lights and ceiling beams constantly, as I did."
149,798418,2020-02-23,Great proximity to amenities in the area. Stayed for an Avant Gardner show and worked out great.
150,755386,2021-11-07,"Victoria's Airbnb was exactly as described. Beautiful, modern, and clean. The bed was very comfortable. The space was well organized, there were helpful notes around, and the apartment felt very secure. We wouldn't hesitate to stay here again."
151,708300,2019-12-01,"I had an amazing stay here. The apartment is very clean, and it exceeded my expectations!"
152,322736,2019-08-18,"Great hospitality, great host, great vibes. Advantageous location, amazing rooftop."
153,799244,2021-07-15,You can expect to chill all the way. Stoner's paradise. Gamer's paradise. Foodie's paradise. Balcony is refreshing. Couch is comfy. Bed is comfy. View is great. Hosts are warm. Functional furniture. Serene vibes. You'll never want to say goodbye.
